country,alt_5,alternative_1,alternative_2,alternative_3,alternative_4_cdiac,arb1,arb2,arb3,arb4,arb5,arb6,gapminder_list,god_id,gwid,iso3166_1_alpha2,iso3166_1_alpha3,iso3166_1_numeric,iso3166_2,name,pandg,unicode_region_subtag,upper_case_name
mng,,,,,,,,,,,,,,,,,,,蒙古國,,,
mnp,,,,,,,,,,,,,,,,,,,北馬里亞納群島,,,
moz,,,,,,,,,,,,,,,,,,,莫三比克,,,
mrt,,,,,,,,,,,,,,,,,,,茅利塔尼亞,,,
msr,,,,,,,,,,,,,,,,,,,蒙特塞拉特,,,
mtq,,,,,,,,,,,,,,,,,,,馬提尼克,,,
mus,,,,,,,,,,,,,,,,,,,模里西斯,,,
mwi,,,,,,,,,,,,,,,,,,,馬拉威,,,
mys,,,,,,,,,,,,,,,,,,,馬來西亞,,,
myt,,,,,,,,,,,,,,,,,,,馬約特,,,
nam,,,,,,,,,,,,,,,,,,,納米比亞,,,
ncl,,,,,,,,,,,,,,,,,,,新喀里多尼亞,,,
ner,,,,,,,,,,,,,,,,,,,尼日,,,
nfk,,,,,,,,,,,,,,,,,,,諾福克島,,,
nga,,,,,,,,,,,,,,,,,,,奈及利亞,,,
ngokar,,,,,,,,,,,,,,,,,,,,,,
nic,,,,,,,,,,,,,,,,,,,尼加拉瓜,,,
niu,,,,,,,,,,,,,,,,,,,紐埃,,,
nld,,,,,,,,,,,,,,,,,,,荷蘭,,,
nld_curacao,,,,,,,,,,,,,,,,,,,,,,
nor,,,,,,,,,,,,,,,,,,,挪威,,,
npl,,,,,,,,,,,,,,,,,,,尼泊爾,,,
nru,,,,,,,,,,,,,,,,,,,諾魯,,,
nzl,,,,,,,,,,,,,,,,,,,紐西蘭,,,
omn,,,,,,,,,,,,,,,,,,,阿曼,,,
pak,,,,,,,,,,,,,,,,,,,巴基斯坦,,,
pan,,,,,,,,,,,,,,,,,,,巴拿馬,,,
pcn,,,,,,,,,,,,,,,,,,,皮特凱恩群島,,,
per,,,,,,,,,,,,,,,,,,,秘魯,,,
phl,,,,,,,,,,,,,,,,,,,菲律賓,,,
plw,,,,,,,,,,,,,,,,,,,帛琉,,,
png,,,,,,,,,,,,,,,,,,,巴布亞紐幾內亞,,,
pol,,,,,,,,,,,,,,,,,,,波蘭,,,
pri,,,,,,,,,,,,,,,,,,,波多黎各,,,
prk,,,,,,,,,,,,,,,,,,,北韓,,,
prt,,,,,,,,,,,,,,,,,,,葡萄牙,,,
pry,,,,,,,,,,,,,,,,,,,巴拉圭,,,
pse,,,,,,,,,,,,,,,,,,,巴勒斯坦,,,
pse_gaza,,,,,,,,,,,,,,,,,,,,,,
pse_west_bank,,,,,,,,,,,,,,,,,,,,,,
pyf,,,,,,,,,,,,,,,,,,,法屬玻里尼西亞,,,
qat,,,,,,,,,,,,,,,,,,,卡達,,,
reu,,,,,,,,,,,,,,,,,,,留尼旺,,,
rou,,,,,,,,,,,,,,,,,,,羅馬尼亞,,,
rus,,,,,,,,,,,,,,,,,,,俄羅斯,,,
rwa,,,,,,,,,,,,,,,,,,,盧安達,,,
sau,,,,,,,,,,,,,,,,,,,沙烏地阿拉伯,,,
scg,,,,,,,,,,,,,,,,,,,,,,
scg_ex_kos,,,,,,,,,,,,,,,,,,,,,,
sdn,,,,,,,,,,,,,,,,,,,蘇丹,,,
sen,,,,,,,,,,,,,,,,,,,塞內加爾,,,
sgero_a_ssandw,,,,,,,,,,,,,,,,,,,,,,
sgp,,,,,,,,,,,,,,,,,,,新加坡,,,
shn,,,,,,,,,,,,,,,,,,,聖赫倫那、阿森松和特里斯坦-達庫尼亞,,,
sjm,,,,,,,,,,,,,,,,,,,斯瓦爾巴和揚馬延,,,
slb,,,,,,,,,,,,,,,,,,,索羅門群島,,,
sle,,,,,,,,,,,,,,,,,,,獅子山,,,
slv,,,,,,,,,,,,,,,,,,,薩爾瓦多,,,
smr,,,,,,,,,,,,,,,,,,,聖馬利諾,,,
som,,,,,,,,,,,,,,,,,,,索馬利亞,,,
som_somland,,,,,,,,,,,,,,,,,,,,,,
sosset,,,,,,,,,,,,,,,,,,,,,,
spm,,,,,,,,,,,,,,,,,,,聖皮埃爾和密克隆,,,
srb,,,,,,,,,,,,,,,,,,,塞爾維亞,,,
ssd,,,,,,,,,,,,,,,,,,,南蘇丹,,,
stbar,,,,,,,,,,,,,,,,,,,,,,
stmar,,,,,,,,,,,,,,,,,,,,,,
stp,,,,,,,,,,,,,,,,,,,聖多美和普林西比,,,
sur,,,,,,,,,,,,,,,,,,,蘇利南,,,
svk,,,,,,,,,,,,,,,,,,,斯洛伐克,,,
svn,,,,,,,,,,,,,,,,,,,斯洛維尼亞,,,
swe,,,,,,,,,,,,,,,,,,,瑞典,,,
swz,,,,,,,,,,,,,,,,,,,史瓦濟蘭,,,
sxm,,,,,,,,,,,,,,,,,,,聖馬丁,,,
syc,,,,,,,,,,,,,,,,,,,塞席爾,,,
syr,,,,,,,,,,,,,,,,,,,敘利亞,,,
tca,,,,,,,,,,,,,,,,,,,特克斯與凱科斯群島,,,
tcd,,,,,,,,,,,,,,,,,,,查德,,,
tgo,,,,,,,,,,,,,,,,,,,多哥,,,
tha,,,,,,,,,,,,,,,,,,,泰國,,,
tjk,,,,,,,,,,,,,,,,,,,塔吉克,,,
tkl,,,,,,,,,,,,,,,,,,,托克勞,,,
tkm,,,,,,,,,,,,,,,,,,,土庫曼,,,
tls,,,,,,,,,,,,,,,,,,,東帝汶,,,
ton,,,,,,,,,,,,,,,,,,,東加,,,
transn,,,,,,,,,,,,,,,,,,,,,,
tto,,,,,,,,,,,,,,,,,,,千里達及托巴哥,,,
tun,,,,,,,,,,,,,,,,,,,突尼西亞,,,
tur,,,,,,,,,,,,,,,,,,,土耳其,,,
tuv,,,,,,,,,,,,,,,,,,,吐瓦魯,,,
twn,,,,,,,,,,,,,,,,,,,台灣,,,
tza,,,,,,,,,,,,,,,,,,,坦尚尼亞,,,
uga,,,,,,,,,,,,,,,,,,,烏干達,,,
ukr,,,,,,,,,,,,,,,,,,,烏克蘭,,,
ury,,,,,,,,,,,,,,,,,,,烏拉圭,,,
usa,,,,,,,,,,,,,,,,,,,美國,,,
usa_minor_out_isl,,,,,,,,,,,,,,,,,,,,,,
ussr,,,,,,,,,,,,,,,,,,,,,,
uzb,,,,,,,,,,,,,,,,,,,烏茲別克,,,
vct,,,,,,,,,,,,,,,,,,,聖文森及格瑞那丁,,,
ven,,,,,,,,,,,,,,,,,,,委內瑞拉,,,
vgb,,,,,,,,,,,,,,,,,,,英屬維京群島,,,
vir,,,,,,,,,,,,,,,,,,,美屬維京群島,,,
vnm,,,,,,,,,,,,,,,,,,,越南,,,
vut,,,,,,,,,,,,,,,,,,,萬那杜,,,
wlf,,,,,,,,,,,,,,,,,,,瓦利斯和富圖納,,,
wsm,,,,,,,,,,,,,,,,,,,薩摩亞,,,
yem,,,,,,,,,,,,,,,,,,,葉門,,,
yem_north,,,,,,,,,,,,,,,,,,,,,,
yem_south,,,,,,,,,,,,,,,,,,,,,,
yug,,,,,,,,,,,,,,,,,,,,,,
zaf,,,,,,,,,,,,,,,,,,,南非,,,
zmb,,,,,,,,,,,,,,,,,,,尚比亞,,,
zwe,,,,,,,,,,,,,,,,,,,辛巴威,,,
