geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
cod;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.54;;;;;;;;;;;;
cog;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.24;;;;;;;;;;;;
cok;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.28;;;;;;
col;agriculture_workers_percent_of_employment;;;;;;1.62;1.56;1.34;1.41;1.37;1.35;;;;;1.36;1.44;1.36;1.33;1.26;1.43;1.29;1.42;20.71;1.31;1.02;1.25;0.99;1.03;1.13;1.1;22.19;20.53;21.24;20.35;20.71;19.1;18.37;18.2;18.6;18.37;17.81;17.4;16.6;16.23;16.01;16.01;16.53
com;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.4;;;;;;;;;;;;;
cpv;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.91;;
cri;agriculture_workers_percent_of_employment;;;;;;;;;;;27.44;27.56;30.0;28.18;30.74;27.31;26.91;28.1;28.06;26.17;25.93;25.47;24.08;22.61;21.41;21.61;21.65;20.59;20.12;19.73;20.42;15.58;15.85;15.14;14.83;15.19;14.0;13.22;12.34;;;10.85;10.25;9.87;11.14;12.29;12.19;12.5
cub;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;24.91;25.3;25.89;25.46;25.1;25.1;25.1;21.49;27.12;27.12;21.66;21.66;21.66;21.16;20.25;20.02;18.74;18.57;18.64;18.49;19.69;19.26;18.61;18.9;;;
cym;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;1.05;;;;;;;;;;;;;;1.68;2.3;1.82;1.86;1.86;0.61;0.45;0.7;0.83;0.72;0.62;;
cyp;agriculture_workers_percent_of_employment;;;;;;;24.32;22.54;21.01;20.12;19.17;18.71;18.01;17.53;17.09;16.37;15.8;15.45;14.82;14.31;13.53;12.44;11.99;11.72;10.97;10.7;;;;;5.4;4.84;5.25;5.19;5.1;4.74;4.26;4.38;4.23;3.93;3.8;3.83;2.91;3.11;4.43;4.0;3.64;2.53
cze;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;7.79;6.94;6.63;6.21;5.79;5.55;5.31;5.21;4.87;4.89;4.51;4.45;3.98;3.76;3.58;3.17;3.12;3.1;2.99;3.05;3.03;2.75;2.93;2.9;2.8
deu;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;3.75;3.52;3.27;3.17;2.94;2.94;2.78;2.87;2.64;2.62;2.49;2.42;2.36;2.37;2.27;2.26;1.78;1.68;1.65;1.64;1.56;1.45;1.43;1.39;1.31;1.28
dma;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;28.21;;30.83;;;;;;23.75;;27.16;;21.03;;;;;;;;;;;;;;;;
dnk;agriculture_workers_percent_of_employment;;;9.75;9.53;9.63;9.76;9.32;9.05;8.69;7.2;;7.36;;;;;;;;;;;5.15;5.12;5.02;4.39;3.87;3.72;3.7;3.31;3.66;3.54;3.21;3.29;3.26;3.18;3.08;2.96;2.55;2.58;2.42;2.4;2.59;2.54;2.48;2.49;2.51;2.19
dom;agriculture_workers_percent_of_employment;;;;;;;0.41;;0.29;;;;;;;;;;;;;;;;;;19.9;20.02;17.09;17.54;15.9;14.78;15.92;13.75;14.82;13.68;13.69;12.85;12.68;;12.42;12.04;11.36;11.09;11.26;9.72;8.93;
dza;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.06;;21.12;20.72;;;;;;;10.77;;10.58;8.78;8.66;8.34;9.39
ecu;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;6.36;6.92;6.87;7.42;6.62;7.32;6.99;6.18;6.62;6.84;7.32;7.47;29.33;29.57;8.58;29.8;30.44;30.34;29.62;28.49;27.95;28.53;27.88;27.91;27.98;26.65;25.28;26.19;26.94;27.69
egy;agriculture_workers_percent_of_employment;51.07;54.16;53.6;51.35;47.34;48.98;;45.55;42.08;41.84;42.37;40.28;39.05;40.97;40.59;;;;;42.44;38.98;31.33;38.44;35.29;35.17;33.99;30.95;31.28;29.8;28.7;29.63;28.54;27.52;29.87;31.83;30.89;31.16;31.71;31.62;29.93;28.23;29.17;27.07;27.96;27.55;25.82;25.53;
esp;agriculture_workers_percent_of_employment;29.46;28.43;25.66;24.34;23.17;22.05;21.59;21.12;;19.97;19.27;18.76;18.53;18.72;18.49;18.32;;;;;11.81;10.67;9.72;9.78;9.49;8.99;8.36;8.04;7.7;7.21;6.69;6.55;6.0;5.7;5.48;5.3;4.81;4.52;4.05;4.12;4.2;4.1;4.22;4.3;4.24;4.12;4.22;4.35
est;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;21.16;21.03;19.25;18.09;16.01;14.15;10.18;9.72;9.68;9.3;8.58;6.36;6.34;6.6;6.24;5.06;5.19;5.06;4.77;3.89;4.05;4.21;4.41;4.49;4.26;3.85;3.89;3.88;3.51
eth;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;89.31;;;;;76.34;;;;;;78.1;;;;;;;;71.03;;;;
fin;agriculture_workers_percent_of_employment;22.62;21.1;18.84;19.07;18.23;16.91;15.87;14.83;14.16;13.5;13.31;12.79;12.96;12.48;12.04;11.35;10.82;10.24;9.68;9.21;8.9;8.88;9.01;8.88;8.7;7.75;7.8;7.75;7.1;6.36;6.19;5.82;5.51;5.25;4.99;4.81;4.66;4.53;4.5;4.61;4.42;4.21;4.14;4.11;4.24;4.21;3.85;3.76
fji;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;2.51;;;1.82;;;2.1;2.34;1.73;;1.49;;;1.57;1.97;28.23;1.6;1.02;;;;43.16;;;40.43;;19.09;
flk;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.86;;;;12.66;
fra;agriculture_workers_percent_of_employment;13.35;12.6;11.83;11.09;10.5;10.19;9.76;9.36;9.06;8.67;8.37;8.1;7.79;7.56;7.37;7.13;6.87;6.58;6.26;5.91;5.57;5.33;5.91;5.45;5.18;4.89;4.82;4.64;4.41;4.24;4.14;4.07;4.13;4.22;3.86;3.62;3.73;3.45;2.72;2.92;2.89;2.9;2.91;3.05;2.82;2.71;2.83;2.6
fro;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.11;;;;;;;;;;;;
gab;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;43.52;;;;;;;;;;;;;;;;;;;;;;;;
gbg;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.44;1.35;1.47;1.33;1.31;1.29;
gbm;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.4;;;;;1.91;;;;;1.97;;;;;1.95;
gbr;agriculture_workers_percent_of_employment;3.21;3.11;3.0;2.94;2.78;2.74;2.76;2.75;2.72;2.62;2.58;2.62;2.64;2.63;2.54;2.51;2.45;2.36;2.24;2.12;2.22;2.31;2.2;2.03;2.07;2.04;1.94;1.85;1.71;1.55;1.53;1.39;1.38;1.25;1.27;1.37;1.35;1.36;1.08;1.1;1.21;1.21;1.18;1.05;1.24;1.13;1.12;1.15
geo;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.49;52.2;52.1;52.75;53.77;54.87;53.97;54.33;55.31;53.42;;;;53.0;52.73;;50.89;;49.09;
gha;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;62.05;;;;;;;55.0;;;;;;;54.71;;;;42.0;;;45.15;;35.15;;
gin;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.83;;;;;;;;;;;;;;;
glp;agriculture_workers_percent_of_employment;;;;;26.5;26.4;26.82;22.17;22.17;;27.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gmb;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;64.74;;;;;;;;;;;;;;;;;;;29.63;;;;;
gnq;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;76.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grc;agriculture_workers_percent_of_employment;;;;;;;;;;;;30.69;28.87;;;;;;;;;;21.86;21.28;20.81;20.43;20.28;19.84;17.89;17.43;17.4;15.87;15.23;15.03;12.37;12.16;11.72;11.33;11.14;11.7;12.4;12.35;13.0;13.69;13.57;12.9;12.37;12.08
grd;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;19.84;;;;;;19.43;;15.51;;13.78;;;;;;;;;;;;;;;;;;;
grl;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.61;;0.07;;;;
gtm;agriculture_workers_percent_of_employment;;;;;;;;;;;;50.78;50.77;;;;;51.91;;49.87;12.95;13.63;;;;;;;37.56;;39.77;;38.67;33.52;36.16;;33.23;;;;33.35;37.56;32.26;30.88;31.53;31.87;29.38;
gum;agriculture_workers_percent_of_employment;;;;;;;;;;;0.94;;;;;;;;;;1.09;;;;;;;;;;0.52;;;;;;;;;;0.32;;;;;;;
guy;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.85;;;;;21.37;;;;;;;;;;;;;;;
hkg;agriculture_workers_percent_of_employment;;;;;;;;;1.49;1.22;1.43;1.28;1.35;1.21;1.2;1.63;1.56;1.54;1.28;1.12;0.86;0.81;0.69;0.64;0.62;0.57;0.4;0.33;0.3;0.3;0.29;0.22;0.28;0.22;0.26;0.26;0.24;0.18;0.24;;;;;;;;;
hnd;agriculture_workers_percent_of_employment;63.23;62.8;62.43;62.14;61.69;61.34;60.94;60.49;60.1;60.07;58.6;58.72;58.32;57.71;;0.99;3.38;3.3;;;50.11;37.99;38.21;;37.18;37.24;38.29;37.0;34.59;35.06;;36.93;38.81;37.36;34.9;33.03;35.6;33.82;34.26;35.36;36.17;35.25;36.97;34.46;28.77;28.71;27.35;
hrv;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;19.87;17.77;;;;11.3;15.55;16.85;16.96;17.29;14.24;12.35;12.81;13.32;14.24;14.57;12.24;10.77;9.5;9.21;7.59;6.97
hti;agriculture_workers_percent_of_employment;74.07;74.07;74.07;74.07;74.07;74.07;74.08;74.08;74.07;74.07;67.55;66.72;65.41;65.41;;;;;66.25;;65.63;;;;;;;;;;;;;50.43;;;;;;;;;;;;;;
hun;agriculture_workers_percent_of_employment;;;;;;;;;;;22.06;21.3;22.16;22.27;21.98;21.27;20.41;19.76;19.3;18.85;18.21;16.13;11.27;9.13;8.73;8.02;8.22;7.81;7.34;6.95;6.46;6.19;6.12;5.38;5.26;4.87;4.76;4.59;4.31;4.61;4.54;4.89;5.06;4.78;4.66;4.89;5.04;5.04
idn;agriculture_workers_percent_of_employment;;;;;;;65.97;61.46;60.92;64.04;56.39;;54.66;;;54.66;55.09;55.0;55.93;56.23;55.87;53.92;54.87;50.6;46.15;43.98;44.01;41.18;44.96;43.21;45.28;43.77;44.34;46.38;43.33;43.97;42.05;41.24;41.07;40.43;39.11;37.19;35.93;34.98;34.28;33.04;31.82;30.79
ind;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;61.94;;;;;;59.64;;;;;55.82;;;;;51.06;;47.0;;;;;
irl;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;13.66;13.09;12.53;11.97;11.2;10.88;9.1;8.64;7.95;7.11;7.03;6.5;6.37;5.91;5.67;5.44;5.27;5.57;5.73;5.71;5.76;5.76;5.42;5.31;5.31;5.04
irn;agriculture_workers_percent_of_employment;;;;;;;;;;;;;7.03;;;;;;;;;;;;;;23.04;;;;;;;;;24.73;23.16;22.8;21.19;20.86;19.22;18.59;18.76;18.34;17.89;18.03;17.98;17.58
isl;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;10.17;10.45;9.19;9.06;9.57;9.96;9.07;8.64;8.91;8.71;7.7;7.36;6.98;6.32;6.51;6.3;5.9;4.6;4.81;5.57;5.48;5.53;4.43;4.53;4.23;3.89;3.75
isr;agriculture_workers_percent_of_employment;8.8;8.47;7.97;7.5;6.52;6.44;6.41;6.26;6.09;5.81;6.31;6.0;5.62;5.5;5.31;5.34;5.12;5.13;4.6;4.63;4.14;3.51;3.5;3.54;3.33;2.91;2.53;2.39;2.29;2.33;2.15;1.99;1.97;1.86;2.03;2.0;1.76;1.61;1.67;1.63;1.58;1.38;1.53;1.25;1.11;1.02;1.01;1.0
ita;agriculture_workers_percent_of_employment;;;;;;;;15.54;15.18;14.65;14.02;13.18;12.2;;;;;;;;8.9;8.44;8.01;7.09;6.9;6.58;6.13;5.88;5.77;5.42;5.23;5.21;4.93;4.72;4.14;4.2;4.27;3.97;3.7;3.69;3.77;3.68;3.69;3.6;3.64;3.75;3.88;3.78
jam;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;27.3;24.36;23.63;23.17;22.64;21.2;20.97;20.55;20.79;20.72;20.06;20.35;18.48;18.06;18.25;17.61;18.71;20.19;20.25;17.59;18.23;18.25;18.42;17.74;16.63;16.71
jey;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;4.04;3.96;3.79;3.88;3.31;3.17;3.26;3.24;3.02;2.94;2.97;2.94;2.86;;;;;4.14;;;;
jor;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.93;;4.09;;;;;;;;;;;;;
jpn;agriculture_workers_percent_of_employment;17.39;15.91;14.73;13.41;12.89;12.66;12.2;11.87;11.7;11.19;10.42;9.98;9.72;9.26;8.88;8.77;8.46;8.27;7.89;7.56;7.22;6.7;6.39;5.94;5.78;5.68;5.49;5.34;5.27;5.18;5.06;4.88;4.68;4.64;4.52;4.44;;4.24;4.21;4.18;4.05;3.96;3.83;3.69;3.62;3.58;3.45;3.38
kaz;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.69;;35.52;35.48;35.25;33.5;32.41;31.54;31.22;30.16;29.02;28.28;26.45;25.54;24.19;22.11;18.01;16.25;15.13
ken;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.61;;;;;;61.07;;;;;;;;;;;;
kgz;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;32.66;33.9;33.63;33.19;32.72;35.5;38.16;39.0;41.98;47.19;47.15;48.28;49.0;52.39;53.07;52.92;49.09;43.24;38.9;38.5;36.27;34.49;34.02;;;;30.09;31.67;31.59;29.31;26.79;
khm;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.11;77.55;;73.72;70.22;;;39.77;;;;72.24;;54.14;;33.25;;;;;
kir;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.76;;;;;7.13;;;;;22.08;;;;;;;
kna;agriculture_workers_percent_of_employment;;;;53.1;53.3;53.56;53.36;52.09;50.89;50.66;;50.88;50.7;29.2;29.59;;;;;;;;;;;;;;;;;0.23;;;;;;;;;;;;;;;;
kor;agriculture_workers_percent_of_employment;50.45;48.44;50.63;50.0;48.2;45.86;44.61;41.81;38.41;35.77;34.01;34.24;32.07;29.75;27.13;24.94;23.62;21.89;20.65;19.58;17.9;16.37;14.03;13.48;12.56;11.77;11.14;10.77;12.02;11.34;10.6;9.96;9.33;8.81;8.09;7.94;7.71;7.37;7.18;7.01;6.6;6.37;6.13;5.98;5.58;5.11;4.82;4.78
kos;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.56;;2.64;2.25;4.25;
kwt;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;0.65;;;;;1.32;;;;;;;2.05;;;;;;;;;;2.69;;;2.51;;;;;;;;2.31;2.16
lao;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;85.43;;;;;;;;;;;;;;;71.33;;;;;;;31.33
lbr;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.01;;;;;;;
lby;agriculture_workers_percent_of_employment;;27.67;26.17;24.07;21.64;19.66;19.27;18.94;19.13;;18.87;;;15.28;;16.78;19.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lca;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;23.32;26.54;24.22;25.17;20.44;23.07;21.69;20.79;;12.19;12.97;14.84;13.07;12.92;;;;;;;;;11.06;10.2;
lie;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.26;1.18;1.12;1.11;1.15;1.24;1.25;1.25;1.29;1.27;1.3;1.03;
lka;agriculture_workers_percent_of_employment;;;;;;;;;;;;45.86;;;;49.32;;;;;47.81;41.39;43.62;38.66;42.57;37.35;35.13;37.36;41.58;;;;34.48;34.0;34.1;30.67;32.19;31.27;32.68;32.57;32.7;;30.99;29.75;28.49;28.16;27.1;26.07
lso;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;22.84;56.52;;72.35;;;;;;;;;12.1;;;;;;;;;
