geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
bdi;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.85;;;;;30.54;30.79;30.54;30.54;30.54;7.46;7.46;7.46;;;;41.07;;;40.45
bel;family_workers_percent_of_employment;;;;;;;;;;;;;;3.61;4.2;4.05;3.64;3.07;2.78;3.15;2.86;2.35;2.78;2.5;2.38;2.54;2.56;2.33;1.99;2.47;2.09;1.98;1.84;1.68;1.71;1.7;1.54;1.29;1.21;1.25;0.98;1.11;0.84;0.91;0.91;0.89;0.8;0.73
ben;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.1;16.89;;;;;;
bfa;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;69.25;;;;;;;;;;;;45.99;;;;;;;;40.9;;;
bgd;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;40.1;;;;33.76;;;18.37;;21.68;21.68;;;;21.77;3.91;;18.17;;;14.47;11.81
bgr;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.73;1.55;1.7;2.02;2.15;1.54;1.28;1.17;1.01;1.02;1.04;1.02;0.83;0.67;0.69;0.64;0.61;0.78
bhr;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;0.08;;;;;;;;;;0.04;0.6;0.58;0.08;0.57;0.57;0.54;0.54;0.53;0.54;;;;;;;
bhs;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;0.47;0.37;0.44;;0.58;0.69;;0.24;0.22;;0.1;0.37;0.18;0.25;;;;0.16;0.28;;0.3;;;;;;
bih;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.73;4.35;5.39;6.75;5.58;5.27;4.67;4.62;3.98;;;
blr;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;;;;;;;0.03;
blz;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;3.04;4.39;3.88;4.03;4.36;4.07;3.38;;;;;;3.93;;;;;;;;;;;4.0;3.75
bmu;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.13;;0.26;;;;;
bol;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;5.95;4.86;6.03;5.35;7.47;8.1;10.45;10.29;9.34;;25.74;24.42;29.15;27.17;23.58;23.58;25.38;26.61;23.69;19.29;17.73;;18.35;14.42;15.68;17.72;14.45;15.64;14.76
bra;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;6.13;;7.98;8.05;;7.7;6.89;6.96;6.72;7.21;3.97;5.85;5.82;5.73;5.74;5.55;4.94;4.75;3.95;3.75;;2.69;3.01;2.97;2.75;2.74;2.3;2.39
brb;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;0.76;0.59;0.1;0.52;0.09;;0.26;;;0.08;0.16;0.08;0.08;;0.08;;;;;;;;;;;;;
brn;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;0.46;;;;;;;;;;;;;;;;;;;;;;;0.53;;;0.35
btn;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.37;53.95;;;51.77;41.51;41.77;41.13;;38.91;35.58;;
bwa;family_workers_percent_of_employment;;;;;;;;;;;;;;;0.29;;;;;;;;;;3.82;;;;15.8;;17.1;1.33;;2.24;;;3.18;;;5.43;5.7;;;3.78;;;;
can;family_workers_percent_of_employment;;;;;;;1.36;1.23;1.23;1.21;1.0;1.06;1.05;1.02;0.93;0.86;0.81;0.75;0.62;0.55;0.51;0.5;0.52;0.57;0.44;0.43;0.41;0.47;0.42;0.31;0.28;0.22;0.21;0.22;0.19;0.16;0.17;0.15;0.15;0.13;0.11;0.12;0.11;0.12;0.12;0.12;0.13;0.13
che;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;3.11;2.94;2.85;2.82;2.5;2.58;2.57;2.35;2.04;2.04;2.21;2.36;1.96;2.19;2.02;2.14;2.07;2.15;2.05;1.97;1.99;2.05
chl;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;1.82;;1.54;;1.25;;2.58;2.37;2.38;2.33;2.33;2.01;2.1;2.02;2.2;2.03;1.9;1.63;1.64;1.66;3.27;3.59;3.48;3.55;3.35;3.22;3.31;3.19
civ;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.24;;;;;;;;;;19.14;15.66;;;13.94;
cmr;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;15.05;;;;;18.17;;;;;;24.78;;;26.58;;;;14.63;;;
cod;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.78;;;;;;;19.12;;;;;
cog;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.11;;;;;;;;;;;;
cok;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.28;;;;;1.77;;;;;;
col;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;1.51;1.29;1.26;0.93;0.92;1.21;0.94;1.64;1.05;5.74;5.14;6.43;5.36;5.14;2.82;4.37;4.13;5.08;4.61;4.51;4.71;4.43;4.25;4.03;3.68;3.65
com;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.12;;;;;;;;;;;;;
cpv;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.3;;;;;;;;;;;;;;;0.9;;
cri;family_workers_percent_of_employment;;;;;;;;;;;5.19;6.18;7.19;6.67;4.51;5.86;5.45;5.67;4.91;4.54;5.11;4.37;3.59;3.56;3.43;3.74;3.18;3.09;3.29;2.97;2.56;2.9;3.1;2.64;2.38;2.29;2.24;1.82;1.55;1.61;1.22;1.81;1.82;2.38;2.31;2.54;2.22;1.98
cub;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.08;;;;;;;
cym;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;0.18;0.04;;0.05;;;
cyp;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.15;3.3;3.2;3.49;3.35;2.77;2.18;1.71;1.87;2.36;2.07;1.88;1.77;1.64;1.85;1.31;1.26;0.83
cze;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.42;0.52;0.45;0.38;0.44;0.55;0.55;0.66;0.6;0.74;0.66;0.73;0.67;0.6;0.63;0.6;0.6;0.53;0.58;0.95;0.59;0.6;0.53;0.47
deu;family_workers_percent_of_employment;;;;;;;;;;;;;;3.66;3.43;2.81;2.79;2.54;2.44;2.07;2.05;1.45;1.44;1.39;1.36;1.36;1.01;0.97;1.01;0.84;0.8;1.19;1.1;0.99;1.13;1.15;1.03;1.04;0.91;0.63;0.57;0.59;0.54;0.48;0.44;0.4;0.38;0.36
dma;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;2.94;;;;;;1.88;;1.56;;1.52;;;;;;;;;;;;;;;;
dnk;family_workers_percent_of_employment;;;;;;;;;;;;;;3.03;2.57;2.47;2.18;2.29;2.09;1.87;1.9;1.8;1.9;1.78;1.43;1.17;0.98;1.13;1.26;1.02;0.94;0.86;0.83;0.72;0.86;0.79;0.69;0.59;0.41;0.39;0.29;0.26;0.26;0.17;0.21;0.3;0.78;0.4
dom;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;3.69;2.45;2.18;2.19;1.75;1.57;1.71;1.98;2.72;2.24;2.32;3.3;1.8;1.93;1.82;1.63;1.55;1.51;2.24;2.04;
dza;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.44;;7.24;8.2;7.24;;;5.22;4.99;4.15;2.1;;2.14;1.61;;;
ecu;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;4.06;4.39;6.53;6.05;6.97;6.41;6.33;6.97;6.54;4.81;6.66;5.68;11.41;12.57;5.17;8.73;11.52;9.77;11.7;10.42;10.46;10.59;9.33;9.08;9.78;9.43;8.18;9.98;11.87;12.59
egy;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;14.23;13.81;13.24;;12.84;12.14;11.36;11.52;9.3;10.44;12.17;13.97;12.98;13.13;14.07;14.13;13.22;10.89;10.93;9.77;11.42;11.83;12.63;8.4;
eri;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;1.57;;;;;;;;;;;;;;;;;;;;;
esp;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;6.8;6.71;6.48;6.01;5.39;4.99;4.48;4.45;4.12;3.65;3.4;2.97;2.74;2.37;2.09;1.88;1.75;1.62;1.43;1.6;1.34;1.07;1.02;0.91;0.82;0.75;0.7;0.67;0.59;0.56;0.48;0.46
est;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;1.25;;;;;;1.41;1.51;1.54;0.89;0.78;0.43;0.52;0.37;0.2;0.45;0.22;0.17;0.22;0.14;0.18;0.18;0.26;0.3;0.26;0.21;0.13;0.1;0.21
eth;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.09;;;;;;42.63;;;;;;;;39.85;;;;
fin;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;1.46;1.4;1.31;1.28;1.31;1.27;1.51;1.51;1.02;0.57;0.81;0.67;0.64;0.52;0.41;0.42;0.53;0.55;0.56;0.51;0.54;0.56;0.47;0.5;0.46;0.49;0.47;0.53;0.42
fji;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.07;;13.69;12.48;;;15.51;;;22.23;;;0.29;;0.88;
fra;family_workers_percent_of_employment;;;;;;;;;;;;;;4.28;4.39;4.19;3.93;3.65;3.34;2.99;2.84;2.66;2.52;2.35;2.29;2.05;1.88;1.75;1.55;1.51;1.27;1.11;1.12;1.22;1.14;0.97;0.93;0.67;0.61;0.62;0.55;0.52;0.47;0.44;0.43;0.38;0.4;0.34
gab;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;3.51;;;;;;;;;;;;;;;;;1.23;;;;;;;
gbr;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;0.7;0.59;0.57;0.54;0.48;0.44;0.38;0.37;0.4;0.35;0.34;0.3;0.35;0.33;0.33;0.34;0.34;0.3;0.32;0.35;0.36;0.37;0.38;0.33;0.37;0.36
geo;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.42;30.63;29.48;31.45;28.28;28.79;27.86;28.49;28.72;28.38;28.13;26.69;24.73;25.84;25.89;24.19;24.12;23.13;23.52;
gha;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.67;;;22.3;;9.65;;
gin;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.74;;;;;;;;;;;;;;;
gmb;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.1;;;;;
gnq;family_workers_percent_of_employment;;;;;;;;;;;;;;39.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grc;family_workers_percent_of_employment;;;;;;;;;;;;;;14.89;15.04;14.6;15.29;14.61;14.3;14.18;12.83;11.6;12.03;12.05;12.29;12.34;12.0;11.92;11.26;10.04;9.62;8.33;7.82;7.86;6.28;6.32;6.54;6.36;5.88;5.84;5.67;5.47;5.02;4.89;4.7;4.37;3.91;3.93
grd;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;2.93;;;;;0.88;;1.12;;;;;;;;;;;;;;;;;;;
gtm;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.56;;15.1;;22.43;14.67;12.4;;;;;;12.55;11.65;13.66;9.84;10.07;9.7;8.41;
gum;family_workers_percent_of_employment;;;;;;;;;;;0.08;;;;;;;;;;0.13;;;;;;;;;;0.26;;;;;;;;;;;;;;;;;
hkg;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;0.87;0.76;0.63;0.61;0.59;0.55;0.68;0.58;0.6;0.66;0.7;0.74;0.73;0.62;0.57;0.54;0.48;0.38;0.42;;;;;0.3;
hnd;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;9.83;9.88;8.82;;8.57;9.05;12.78;11.88;11.44;13.0;;12.35;12.33;11.71;12.2;9.27;8.82;7.9;7.99;8.54;10.1;10.9;10.43;9.26;8.29;9.63;8.61;
hrv;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;7.9;7.48;6.2;5.66;4.92;4.78;4.75;4.06;3.2;2.41;2.23;2.3;2.17;2.37;2.62;2.79;2.35;1.61;1.49;1.93;1.41;1.32
hti;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;11.89;;;;;;;;;;;;;2.72;;;;;;;;;;;;;;
hun;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;1.24;1.14;1.1;1.12;1.08;1.19;0.79;0.77;0.69;0.68;0.63;0.51;0.4;0.44;0.5;0.45;0.34;0.41;0.33;0.42;0.39;0.34;0.32;0.27;0.3;0.28
idn;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.52;19.54;18.31;20.13;19.37;17.55;20.33;18.45;18.03;16.94;17.29;17.26;17.6;17.83;17.04;16.65;16.05;15.44;14.32;13.79;13.44
ind;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;18.56;;;;;;18.02;;;;;19.99;;;;;15.85;;15.01;;;;;
irl;family_workers_percent_of_employment;;;;;;;;;;;;;;4.02;3.53;3.43;2.18;2.9;2.72;2.63;2.5;1.94;1.57;1.67;1.53;1.34;1.08;1.27;1.33;1.28;1.29;1.05;0.9;0.99;0.74;0.72;0.58;0.76;0.77;0.91;0.88;0.7;0.88;0.86;0.76;0.79;0.81;0.63
irn;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;5.47;;;;;;;;;;;10.37;8.91;9.13;7.88;;;;4.95;5.13;5.31;5.38
isl;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;0.54;0.39;0.29;0.2;0.39;0.23;0.31;;;;0.07;0.04;;;;;0.05;;;;;0.17
isr;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;0.61;0.57;0.52;0.5;0.47;0.45;0.47;0.4;0.44;0.36;0.35;0.28;0.21;0.21;0.2;0.2;0.16;0.14;0.13;0.1;0.1;0.09;0.08
ita;family_workers_percent_of_employment;;;;;;;;;;;;;;5.03;5.4;5.18;5.14;5.05;4.87;4.41;3.96;4.06;5.12;4.78;4.61;4.53;4.32;4.26;4.3;3.86;3.93;4.22;4.07;4.06;2.48;1.85;1.84;1.83;1.71;1.57;1.62;1.58;1.45;1.42;1.39;1.37;1.36;1.28
jam;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;3.13;3.01;2.22;2.4;2.82;2.45;2.09;2.19;2.17;2.01;2.09;1.43;1.33;1.29;1.27;1.2;1.22;1.16;;;0.99;1.0;;;;;
jpn;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;8.27;7.68;7.09;6.48;6.31;6.15;5.89;5.73;5.63;5.51;5.27;5.07;4.82;4.69;4.58;4.44;3.87;3.68;3.51;3.22;3.02;2.91;2.87;2.76;2.65;2.54;2.38;2.31
kaz;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.04;1.01;0.97;1.17;0.98;1.13;1.0;0.77;0.82;0.83;0.8;0.46;0.39;;0.12;;
ken;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.12;;;;;;;;;;;;;;;;;;
kgz;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.57;13.06;14.81;14.73;13.19;;;9.42;8.85;9.03;9.33;12.67;12.26;9.72;8.69;
khm;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;45.22;;;;43.38;42.8;;;45.7;;;;43.42;;19.4;;20.01;;5.6;3.64;;
kir;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.76;;;;;;;
kna;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;0.95;;;;;;;;;;0.62;;;;;;;;;;;;;;;;
kor;family_workers_percent_of_employment;26.89;26.42;27.2;27.5;26.02;25.08;24.29;21.95;20.33;18.77;18.78;19.15;18.3;16.81;15.39;14.61;14.21;13.26;12.85;12.07;11.43;10.58;10.14;10.57;10.05;9.53;9.32;9.0;10.16;9.49;9.12;8.62;8.09;7.62;6.85;6.56;6.32;6.0;5.89;5.66;5.27;5.11;5.01;4.83;4.65;4.37;4.24;4.13
kos;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.7;;8.48;7.85;7.84;
kwt;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;0.44;;;;0.0;0.01;
lao;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;33.47;;;;;;;;;;46.03;;;;;34.79;;;;;;;38.3
lbn;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.26;;;4.43;;;;;;;;;;
lbr;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.14;;;;;;;
lca;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;2.76;1.83;1.81;1.98;1.82;1.05;1.06;0.95;;;;;;;;;;;;;;;;;
lka;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;13.8;10.0;11.2;10.4;9.8;9.4;9.98;9.48;13.63;12.24;13.06;10.55;10.73;9.92;9.35;7.96;10.48;10.29;10.77;10.63;10.42;10.76;8.86;9.07;8.92;;;
lso;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;18.8;;;;;;;;;;;;;;;;;;;;;3.94;;;;;;;;;
ltu;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.73;4.12;3.02;3.44;3.64;3.8;3.09;2.96;2.78;1.94;1.46;1.63;1.61;1.4;1.31;1.17;1.26;1.15;0.92;0.88
lux;family_workers_percent_of_employment;;;;;;;;;;;;;;3.09;2.61;2.44;1.88;1.97;1.74;1.71;1.7;1.57;1.1;1.44;1.16;1.31;0.76;0.68;0.56;0.72;0.55;0.56;0.56;0.18;0.33;0.27;0.2;0.17;0.22;0.65;0.43;0.44;0.47;0.4;0.48;0.81;0.83;0.72
lva;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;4.43;6.34;5.45;5.71;4.1;4.96;4.2;3.85;3.86;2.18;1.58;1.71;1.34;1.54;1.41;1.11;0.91;0.84;0.81;0.82;0.84;0.72
mac;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;1.19;1.53;1.58;1.63;1.48;1.41;1.37;1.61;1.83;1.22;0.94;0.7;0.74;0.72;0.63;0.37;0.38;0.28;0.36;0.33;0.18;
mar;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;19.21;;;;27.7;31.3;5.47;5.51;29.85;29.71;32.03;31.66;27.42;26.12;24.05;24.74;23.27;22.71;21.55;21.5;22.0;;;
mda;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.64;7.17;7.76;7.58;2.39;1.03;1.11;2.93;2.33;2.38;2.56;2.66;3.08;2.34;2.15;2.41;4.36;4.63;3.76
mdg;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;31.2;;;;;;;;;;40.58;;52.29;;;;;46.71;;43.67;;;40.99;;
mdv;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;4.53;;;;;6.28;;;;;1.98;;;;;;;;;;;;;;5.12;;2.97;
mex;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;6.26;13.0;11.47;13.89;12.01;11.74;11.38;11.95;10.28;9.72;8.34;8.03;8.41;7.87;7.84;7.17;6.73;6.68;6.53;6.47;6.5;6.17;6.12;5.75;5.54;5.31;4.89;4.7
mhl;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.86;;;;;;;;;;;;;;;;;;
mkd;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;6.97;4.9;8.31;10.29;10.87;14.39;12.24;11.44;8.53;10.42;10.9;10.11;10.28;10.22;10.05;9.57;8.51;8.97;8.8;7.94;6.52;6.34
mli;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.99;;38.02;26.4;;;;;;;39.75;28.68;32.38;
mlt;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;;;;;;0.03;;;;;;;0.04;0.05
mmr;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.77;;24.92
mne;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.18;;1.97;2.61;1.4;1.58;0.92;2.09;;;2.48;2.32;2.92
mng;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.35;;;24.78;;;;27.78;24.14;22.14;9.64;6.34;4.27;2.34;2.38;1.92;2.92;3.04
moz;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.7;;;;;;;;;;;;20.96;;
mrt;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.76;;;;;
mus;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;1.98;;;;;2.37;;;;;0.86;1.67;1.64;2.34;2.03;2.09;2.0;2.16;2.1;2.11;2.38;1.94;2.21;2.2;2.18;2.46;2.17;
mwi;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.56;;;;
mys;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;4.2;;;;6.63;6.7;6.02;6.02;6.15;5.66;5.11;4.76;4.83;5.03;4.51;4.98;4.94;4.56;4.42;4.34;4.16;4.73;4.66;4.52;4.46;4.38;
nam;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;22.44;;;11.7;;;3.32;16.87;;;4.38;;;;1.07;;2.52;;5.74;4.57;6.11;;3.85;
ncl;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;0.34;;;;;;;;;;;;;;;;;;;;;
ner;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.24;;;;;;
nic;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;4.58;;3.85;3.49;3.84;4.72;3.9;12.33;;;13.72;12.92;13.45;11.03;;;9.69;9.69;;18.12;;9.71;;;
nld;family_workers_percent_of_employment;;;;;;;;;;;;;;2.61;;2.36;;2.31;2.05;1.98;2.13;1.68;1.23;1.39;1.28;1.25;1.1;1.06;0.88;0.81;0.87;0.74;0.58;0.52;0.48;0.55;0.54;0.54;0.45;0.45;0.63;0.62;0.55;0.5;0.5;0.56;0.45;0.33
nor;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;2.11;1.67;1.32;1.17;1.0;1.04;1.0;0.64;0.77;0.42;0.38;0.46;0.37;0.38;0.3;0.27;0.35;0.27;0.28;0.24;0.2;0.14;0.18;0.21;0.16;0.19;0.18;0.09
npl;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.29;;;;;;;;;
