geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
aut;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;5.32;5.45;4.88;4.37;4.32;4.12;3.89;3.76;3.17;1.62;1.87;1.99;2.84;2.66;2.57;2.42;2.18;2.06;1.97;2.06;1.73;1.64;1.67
aze;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.57;18.6;16.8;;;;30.23;30.97;32.13;32.95;33.71;33.69;33.23;41.35;41.36
bdi;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.43;;;;;;;;;;8.33;;;;;;65.94;;;65.72
bel;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;8.72;10.17;9.61;8.38;7.2;6.1;6.83;6.24;5.13;5.92;5.46;5.08;5.41;5.37;5.0;4.14;5.26;4.19;3.95;3.75;3.24;3.26;3.4;2.95;2.48;2.18;2.2;1.81;1.85;1.37;1.48;1.48;1.36;1.19;1.08
ben;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.45;20.96;;;;;;
bfa;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;87.34;;;;;;;;;;;;69.22;;;;;;;;52.68;;;
bgd;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;77.33;;;;73.25;;;48.03;;60.12;60.12;;;;56.26;11.4;;50.13;;;37.59;29.13
bgr;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4;1.96;2.29;2.7;2.97;2.25;1.83;1.65;1.51;1.53;1.46;1.29;1.15;0.92;1.02;0.9;0.82;1.07
bhr;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;0.06;0.78;0.75;0.06;0.74;0.74;0.71;0.73;0.76;0.75;;;;;;;
bhs;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;0.67;0.57;0.57;;0.97;1.14;;0.41;0.37;;0.17;0.68;0.14;0.48;;;;0.27;0.32;;0.21;;;;;;
bih;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.88;8.9;10.41;12.89;11.25;10.23;9.0;8.79;7.88;;;
blr;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;;;;;;;0.04;
blz;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;2.58;4.85;4.3;4.12;4.2;4.67;3.53;;;;;;4.3;;;;;;;;;;;4.8;4.51
bmu;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;0.18;;;;;;;
bol;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;8.28;6.68;8.81;8.03;11.84;12.64;15.13;14.94;14.16;;37.45;36.7;40.24;38.81;33.87;33.87;36.82;38.66;34.36;30.66;29.34;;30.81;23.11;26.24;29.47;25.05;25.7;24.91
bra;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;9.41;;11.91;11.84;;11.9;10.23;10.73;10.14;10.98;5.5;8.55;8.51;8.27;8.09;8.12;7.17;6.8;5.88;5.54;;4.14;4.58;4.59;4.26;4.18;3.52;3.61
brb;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;0.63;0.44;0.22;0.23;;;0.37;;;;0.16;0.16;;;0.16;;;;;;;;;;;;;
brn;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;0.63;;;;;;;;;;;;;;;;;;;;;;;0.77;;;0.35
btn;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.71;64.69;;;62.28;48.65;48.66;56.22;;53.94;48.24;;
bwa;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;0.38;;;;;;;;;;6.76;;;;12.4;;17.35;1.18;;2.22;;;4.34;;;5.89;6.23;;;3.94;;;;
can;female_family_workers_percent_of_female_employment;;;;;;;2.89;2.5;2.51;2.44;1.98;2.07;1.97;1.8;1.69;1.59;1.48;1.37;1.12;1.01;0.93;0.89;0.89;0.95;0.76;0.7;0.69;0.72;0.66;0.45;0.42;0.32;0.31;0.3;0.26;0.21;0.24;0.22;0.19;0.17;0.14;0.15;0.15;0.13;0.15;0.15;0.16;0.16
che;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;4.63;4.48;4.1;4.06;3.56;3.43;3.38;3.09;2.79;2.9;3.23;3.18;2.56;2.72;2.48;2.79;2.67;2.66;2.61;2.54;2.46;2.55
chl;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;2.84;;2.53;;2.44;;3.86;4.16;3.85;3.66;3.82;3.48;3.48;3.31;3.4;3.24;3.0;2.83;2.65;2.49;4.55;5.04;5.01;4.81;4.39;4.34;4.35;4.29
civ;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.17;;;;;;;;;;26.58;23.29;;;21.39;
cmr;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;21.6;;;;;27.15;;;;;;33.52;;;34.17;;;;20.8;;;
cod;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.07;;;;;;;31.08;;;;;
cog;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.22;;;;;;;;;;;;
cok;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.11;;;;;1.46;;;;;;
col;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;2.44;2.11;2.16;1.7;1.68;1.83;1.59;2.47;1.59;7.22;7.87;9.23;8.28;7.93;3.94;6.17;6.32;7.28;7.0;6.96;7.39;6.91;6.64;6.37;5.72;5.91
com;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.86;;;;;;;;;;;;;
cpv;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.81;;;;;;;;;;;;;;;1.21;;
cri;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;3.84;4.87;3.7;6.24;4.92;3.79;4.23;3.74;4.96;3.86;4.1;3.97;4.22;3.34;3.55;;3.61;3.53;3.46;3.2;2.76;2.62;2.33;1.27;2.98;3.31;4.12;3.7;4.01;3.63;3.19
cub;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;0.02;;;;;;;
cym;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;0.23;0.08;;;;;
cyp;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.64;6.17;6.13;6.5;6.19;4.78;3.56;2.71;3.01;3.43;2.8;2.33;2.32;2.13;2.15;1.43;1.34;0.86
cze;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;0.42;0.62;0.84;0.78;0.64;0.81;0.98;0.99;1.16;1.18;1.26;1.1;1.25;1.27;1.07;1.03;0.98;1.05;0.97;1.0;1.59;1.07;1.05;0.93;0.84
deu;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;7.91;7.49;6.17;6.07;5.5;5.33;4.59;4.3;2.92;2.87;2.76;2.62;2.65;1.92;1.75;1.83;1.52;1.42;2.13;1.92;1.69;1.91;1.94;1.74;1.77;1.51;1.02;0.89;0.88;0.78;0.71;0.66;0.58;0.55;0.53
dma;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;2.9;;;;;;3.35;;1.87;;1.98;;;;;;;;;;;;;;;;
dnk;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;6.65;5.57;5.29;4.7;4.83;4.51;3.97;4.0;3.82;3.65;3.61;2.9;2.28;1.82;2.16;2.43;1.92;1.82;1.47;1.45;1.3;1.5;1.39;1.2;0.8;0.52;0.52;0.47;0.37;0.38;0.25;0.25;0.34;0.86;0.47
dom;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;2.75;2.87;3.0;2.79;2.5;2.45;1.89;1.98;2.21;4.22;2.9;2.9;5.51;2.84;2.83;2.68;2.27;1.99;2.38;3.38;3.41;
dza;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.09;;7.23;13.63;7.31;;;7.98;5.32;8.48;2.18;;2.94;1.63;;;
ecu;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;7.02;8.16;11.32;10.37;11.63;10.6;11.04;12.47;10.93;8.78;10.75;9.91;18.55;21.3;8.64;15.0;19.41;16.39;19.46;17.6;17.59;17.86;15.75;15.99;16.78;16.31;14.41;17.06;19.35;20.44
egy;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;32.77;33.49;29.84;;29.97;23.27;21.99;26.01;17.02;19.52;25.75;32.15;31.49;32.62;33.94;34.68;33.22;29.28;30.06;27.51;34.65;36.69;39.89;23.43;
eri;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;
esp;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;14.35;13.33;12.54;11.8;10.53;9.58;8.64;8.36;7.48;6.45;5.81;5.17;4.76;4.13;3.69;3.33;2.89;2.68;2.32;2.31;1.92;1.55;1.39;1.16;1.01;0.97;0.89;0.79;0.78;0.71;0.58;0.55
est;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;1.9;;;;;;1.86;1.99;1.91;1.14;0.98;0.44;0.31;0.17;0.15;0.21;0.2;0.17;0.3;0.22;0.18;0.13;0.23;0.34;0.26;0.22;0.19;0.06;0.19
eth;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.74;;;;;;64.44;;;;;;;;58.65;;;;
fin;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;1.17;1.09;0.96;0.93;0.99;0.8;1.35;1.39;0.84;0.5;0.76;0.61;0.59;0.49;0.4;0.32;0.44;0.49;0.45;0.42;0.41;0.49;0.35;0.4;0.33;0.38;0.37;0.47;0.35
fji;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.93;;19.21;17.34;;;26.23;;;33.1;;;0.27;;1.06;
fra;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;9.0;9.12;8.52;7.86;7.15;6.59;5.77;5.51;5.0;4.92;4.38;4.22;3.78;3.41;3.22;2.87;2.79;2.31;2.04;1.96;2.01;1.85;1.54;1.45;1.05;0.99;1.01;0.85;0.82;0.7;0.7;0.7;0.64;0.65;0.55
gab;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;5.33;;;;;;;;;;;;;;;;;1.93;;;;;;;
gbr;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;1.1;0.94;0.84;0.84;0.72;0.67;0.61;0.53;0.58;0.48;0.51;0.42;0.45;0.45;0.44;0.46;0.47;0.39;0.41;0.47;0.46;0.49;0.43;0.38;0.42;0.43
geo;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.25;40.15;36.67;40.2;37.13;38.75;37.64;38.96;;;37.87;36.04;34.2;36.26;37.5;35.4;34.92;33.76;33.35;
gha;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.43;;;27.82;;13.46;;
gin;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.95;;;;;;;;;;;;;;;
gmb;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.54;;;;;
gnq;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;76.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grc;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;36.01;35.73;33.89;35.7;33.89;32.14;31.29;27.66;25.17;25.97;25.18;25.64;25.11;24.25;23.61;21.29;18.46;17.2;14.76;13.92;13.65;11.31;11.13;10.8;10.48;9.68;9.55;9.12;8.48;7.77;7.72;7.07;6.3;5.77;5.96
grd;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;5.51;;;;;0.61;;1.73;;;;;;;;;;;;;;;;;;;
gtm;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.13;;15.12;;24.54;21.0;17.09;;;;;;16.92;12.81;17.62;12.11;13.07;12.27;11.43;
hkg;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;2.03;1.74;1.46;1.38;1.36;1.22;1.47;1.22;1.2;1.29;1.35;1.42;1.37;1.17;1.1;0.99;0.85;0.69;0.76;;;;;0.5;
hnd;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;6.26;6.62;7.02;;6.09;6.46;10.48;10.84;10.65;14.33;;11.35;11.02;10.06;9.13;9.06;7.78;8.35;7.7;9.25;10.59;10.84;9.43;10.41;10.14;11.26;10.49;
hrv;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;12.4;11.51;10.01;8.96;8.24;7.76;7.6;6.64;5.24;4.01;3.61;3.72;3.6;3.87;4.3;4.77;3.79;2.44;2.3;2.82;2.03;1.63
hti;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;11.23;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
hun;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;1.82;1.66;1.6;1.66;1.6;1.76;1.12;1.07;1.0;0.94;0.98;0.7;0.62;0.67;0.77;0.69;0.44;0.48;0.45;0.63;0.53;0.47;0.4;0.27;0.39;0.46
idn;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.94;38.56;36.21;41.53;38.48;37.52;34.08;33.56;32.64;32.92;33.45;32.84;32.07;30.8;30.02;28.15;26.04;25.21
ind;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;33.72;;;;;;33.59;;;;;38.19;;;;;31.84;;31.54;;;;;
irl;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;6.83;5.69;6.52;3.62;4.13;3.66;3.71;3.51;2.63;2.04;2.33;2.12;1.88;1.48;1.84;2.0;1.8;1.9;1.48;1.16;1.35;0.92;0.9;0.87;0.98;0.87;1.02;0.92;0.77;0.89;1.0;0.81;0.93;0.89;0.62
irn;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;20.76;;;;;;;;;;;32.65;29.7;28.98;26.72;;;;19.53;19.89;19.65;18.62
isl;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;1.25;0.92;0.39;0.31;0.3;0.56;;0.39;;;;;;;;;;;;;;;0.23
isr;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;1.21;1.06;0.92;0.85;0.82;0.77;0.76;0.67;0.68;0.57;0.55;0.47;0.38;0.34;0.33;0.27;0.22;0.19;0.17;0.15;0.13;0.13;0.11
ita;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;10.25;11.23;10.61;10.08;9.98;9.49;8.25;7.37;7.32;8.94;8.51;7.95;7.68;7.22;6.85;6.6;5.77;5.81;6.09;5.89;5.91;3.63;2.81;2.71;2.62;2.48;2.2;2.28;2.23;1.99;2.01;1.95;1.86;1.77;1.65
jam;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;4.47;4.11;3.2;3.37;3.93;3.59;3.18;3.44;3.01;3.03;3.45;2.51;2.22;2.38;2.49;2.17;2.16;2.12;;;1.46;1.47;;;;;
jpn;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;16.72;15.51;14.32;13.14;12.78;12.51;11.99;11.56;11.33;11.06;10.57;10.08;9.52;9.16;8.87;8.58;7.62;7.3;6.85;6.29;5.87;5.59;5.46;5.26;4.98;4.79;4.39;4.23
kaz;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.24;1.33;1.16;1.33;0.89;1.14;1.11;0.9;0.89;0.9;0.83;0.39;0.41;;0.12;;
ken;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.69;;;;;;;;;;;;;;;;;;
kgz;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.87;17.69;21.78;20.98;19.27;;;13.64;12.88;13.82;14.53;21.07;20.7;17.11;14.36;
khm;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;61.86;;;;58.96;53.31;;;;;;;60.82;;19.27;;27.22;;6.1;3.8;;
kir;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.74;;;;;;;
kna;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;1.33;;;;;;;;;;0.81;;;;;;;;;;;;;;;;
kor;female_family_workers_percent_of_female_employment;50.36;50.54;51.67;49.59;49.06;47.92;44.54;41.91;39.3;37.0;37.44;38.19;36.41;33.87;32.52;30.58;29.2;27.37;27.31;25.56;24.45;22.73;21.95;23.15;22.16;21.08;20.43;19.62;22.22;20.11;19.25;18.09;17.12;16.64;14.74;13.97;13.45;12.68;12.38;11.82;10.84;10.63;10.42;10.03;9.7;9.03;8.66;8.38
kos;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.4;;7.4;6.82;7.04;
kwt;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;;;;;0.0;0.0;
lao;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;37.56;;;;;;;;;;65.05;;;;;45.2;;;;;;;45.6
lbn;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.03;;;5.9;;;;;;;;;;
lbr;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.72;;;;;;;
lca;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;4.15;2.59;3.04;2.17;2.19;1.1;1.57;1.44;;;;;;;;;;;;;;;;;
lka;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;18.7;18.8;19.1;18.9;18.28;27.0;24.8;26.5;21.34;23.0;21.3;19.8;18.2;21.67;21.68;22.4;22.25;22.39;23.31;19.44;20.53;20.6;;;
lso;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;25.88;;;;;;;;;;;;;;;;;;;;;3.71;;;;;;;;;
ltu;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.07;4.35;3.55;3.62;4.37;4.57;4.2;3.92;3.98;2.68;1.92;1.9;1.76;1.49;1.46;1.45;1.36;1.43;1.1;1.09
lux;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;7.68;6.37;5.81;4.48;4.85;4.43;4.13;4.12;3.96;2.61;3.52;3.04;3.35;1.84;1.49;1.38;1.53;1.29;1.14;1.33;0.36;0.77;0.6;0.42;0.34;0.5;1.01;0.74;0.58;0.66;0.64;0.55;1.03;1.09;0.73
lva;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;5.08;7.47;6.22;6.21;4.8;5.25;4.23;4.18;4.62;2.1;1.58;1.81;1.17;1.4;1.42;1.1;0.75;0.63;0.57;0.62;0.66;0.42
mac;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3;3.17;3.13;3.26;2.93;2.79;2.54;2.78;3.46;2.3;1.78;1.36;1.39;1.24;1.09;0.62;0.6;0.51;0.65;0.64;0.32;
mar;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;29.26;;;;50.89;54.91;5.47;5.07;52.47;52.48;56.1;55.69;55.34;51.82;48.6;49.82;48.49;49.45;47.32;;;;;
mda;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.97;8.84;10.68;10.24;3.39;1.48;1.39;4.28;3.37;3.47;3.38;3.46;4.42;3.34;3.02;3.5;6.12;7.06;5.51
mdg;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;41.62;;;;;;;;;;51.93;;72.98;;;;;63.42;;60.8;;;59.4;;
mdv;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;6.58;;;;;12.15;;;;;3.36;;;;;;;;;;;;;;8.93;;3.95;
mex;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;5.45;17.4;16.22;17.66;16.75;17.0;16.1;18.02;15.01;14.39;12.57;11.95;12.45;11.42;11.67;10.78;10.33;10.29;9.94;9.47;9.35;9.23;8.87;8.16;8.03;7.68;7.22;6.95
mhl;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.96;;;;;;;;;;;;;;;;;;
mkd;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;11.17;7.5;12.01;16.21;16.5;21.77;19.2;18.09;11.96;16.67;17.01;14.91;16.55;15.96;16.47;14.86;13.89;14.37;13.86;12.25;10.09;10.93
mli;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.19;;46.71;34.06;;;;;;;41.2;27.85;41.11;
mlt;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.09;0.09
mmr;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.15;;36.32
mne;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6;;2.63;2.73;1.42;1.77;0.81;2.48;;;3.27;3.07;3.87
mng;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.61;;;31.71;;;;36.13;34.15;35.09;15.25;10.31;5.98;3.89;3.58;3.13;4.6;4.84
moz;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.81;;;;;;;;;;;;27.68;;
mrt;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.93;;;;;
mus;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;3.09;;;;;4.09;;;;;1.66;3.31;3.74;5.28;4.63;4.64;4.68;4.66;4.44;4.81;5.12;4.26;4.79;4.59;4.45;4.73;4.35;
mwi;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.58;;;;
mys;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;8.11;;;;13.15;13.83;12.41;12.03;11.75;11.11;10.26;9.63;9.58;9.65;8.52;9.02;8.83;8.07;7.92;7.69;7.32;8.49;8.32;8.17;8.18;7.67;
nam;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;31.49;;;18.1;;;4.13;22.02;;;5.85;;;;1.17;;2.98;;7.03;5.38;7.26;;5.05;
ncl;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;0.47;;;;;;;;;;;;;;;;;;;;;
ner;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.42;;;;;;
nic;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;3.55;;3.73;3.76;3.96;5.55;4.9;10.98;;;11.98;10.39;11.66;9.1;;;;;;22.23;;9.19;;;
nld;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;6.94;;6.17;;5.34;4.86;4.85;5.08;3.83;2.62;2.92;2.52;2.45;2.1;2.11;1.8;1.64;1.59;1.36;1.09;0.94;0.86;0.96;0.97;0.92;0.77;0.74;1.07;1.01;0.85;0.79;0.81;0.86;0.71;0.53
